"position","well","row","column","media","strain","plasmid"
42,"B6","B",6,"SD-Trp","SY992","URA3_B2-A"
43,"C6","C",6,"SD-Trp","SY992","URA3_A2-B"
44,"D6","D",6,"SD-Trp","SY992","URA3_A2-B"
45,"E6","E",6,"SD-Trp","SY992","URA3_B2-B"
46,"F6","F",6,"SD-Trp","SY992","URA3_B2-B"
47,"G6","G",6,"SD-Trp","SY992","URA3_B3-B"
48,"H6","H",6,"SD-Trp","SY992","URA3_B3-B"
49,"A7","A",7,"SD-Trp","SY992","URA3_C3-B"
50,"B7","B",7,"SD-Trp","SY992","URA3_C3-B"
51,"C7","C",7,"SD-Trp","SY992","URA3_D3-B"
52,"D7","D",7,"SD-Trp","SY992","URA3_D3-B"
53,"E7","E",7,"SD-Trp","SY992","URA3_E3-B"
54,"F7","F",7,"SD-Trp","SY992","URA3_E3-B"
55,"G7","G",7,"SD-Trp","SY992","URA3_F3-B"
56,"H7","H",7,"SD-Trp","SY992","URA3_F3-B"
57,"A8","A",8,"SD-Trp","SY992","URA3_G3-B"
58,"B8","B",8,"SD-Trp","SY992","URA3_G3-B"
59,"C8","C",8,"SD-Trp","SY992","URA3_H3-B"
60,"D8","D",8,"SD-Trp","SY992","URA3_H3-B"
61,"E8","E",8,"SD-Trp","SY992","URA3_A4-B"
62,"F8","F",8,"SD-Trp","SY992","URA3_A4-B"
63,"G8","G",8,"SD-Trp","SY992","URA3_B4-B"
64,"H8","H",8,"SD-Trp","SY992","URA3_B4-B"
65,"A9","A",9,"SD-Trp","SY992","URA3_WT-A"
66,"B9","B",9,"SD-Trp","SY992","URA3_WT-A"
67,"C9","C",9,"SD-Trp","SY992","URA3_05-A"
68,"D9","D",9,"SD-Trp","SY992","URA3_05-A"
69,"E9","E",9,"SD-Trp","SY992","URA3_34-A"
70,"F9","F",9,"SD-Trp","SY992","URA3_34-A"
71,"G9","G",9,"SD-Trp","SY992","URA3_A2-A"
72,"H9","H",9,"SD-Trp","SY992","URA3_A2-A"
73,"A10","A",10,"SD-Trp","SY992","URA3_B2-A"
74,"B10","B",10,"SD-Trp","SY992","URA3_B2-A"
75,"C10","C",10,"SD-Trp","SY992","URA3_A2-B"
76,"D10","D",10,"SD-Trp","SY992","URA3_A2-B"
77,"E10","E",10,"SD-Trp","SY992","URA3_B2-B"
78,"F10","F",10,"SD-Trp","SY992","URA3_B2-B"
79,"G10","G",10,"SD-Trp","SY992","URA3_B3-B"
80,"H10","H",10,"SD-Trp","SY992","URA3_B3-B"
81,"A11","A",11,"SD-Trp","SY992","URA3_C3-B"
82,"B11","B",11,"SD-Trp","SY992","URA3_C3-B"
83,"C11","C",11,"SD-Trp","SY992","URA3_D3-B"
84,"D11","D",11,"SD-Trp","SY992","URA3_D3-B"
85,"E11","E",11,"SD-Trp","SY992","URA3_E3-B"
86,"F11","F",11,"SD-Trp","SY992","URA3_E3-B"
87,"G11","G",11,"SD-Trp","SY992","URA3_F3-B"
88,"H11","H",11,"SD-Trp","SY992","URA3_F3-B"
89,"A12","A",12,"SD-Trp","SY992","URA3_G3-B"
90,"B12","B",12,"SD-Trp","SY992","URA3_G3-B"
91,"C12","C",12,"SD-Trp","SY992","URA3_H3-B"
92,"D12","D",12,"SD-Trp","SY992","URA3_H3-B"
93,"E12","E",12,"SD-Trp","SY992","URA3_A4-B"
94,"F12","F",12,"SD-Trp","SY992","URA3_A4-B"
95,"G12","G",12,"SD-Trp","SY992","URA3_B4-B"
96,"H12","H",12,"SD-Trp","SY992","URA3_B4-B"
